Tanggal,Positif,Sembuh
1-Sep-21,41141,39361
2-Sep-21,41209,39527
3-Sep-21,41284,39704
4-Sep-21,41356,39912
5-Sep-21,41402,40074
6-Sep-21,41419,40119
7-Sep-21,41478,40270
8-Sep-21,41518,40373
9-Sep-21,41550,40448
10-Sep-21,41598,40521
11-Sep-21,41640,40602
12-Sep-21,41685,40676
13-Sep-21,41695,40707
14-Sep-21,41737,40781
15-Sep-21,41776,40837
16-Sep-21,41804,40896
17-Sep-21,41873,40937
18-Sep-21,41901,40990
19-Sep-21,41917,41028
20-Sep-21,41919,41036
21-Sep-21,41940,41093
22-Sep-21,41956,41143
23-Sep-21,41970,41173
24-Sep-21,41989,41215
25-Sep-21,42004,41248
26-Sep-21,42018,41284
27-Sep-21,42023,41298
28-Sep-21,42044,41336
29-Sep-21,42053,41359
30-Sep-21,42061,41378
1-Oct-21,42070,41398
2-Oct-21,42078,41424
3-Oct-21,42081,41436
4-Oct-21,42085,41440
5-Oct-21,42090,41457
6-Oct-21,42107,41477
7-Oct-21,42115,41490
8-Oct-21,42122,41503
9-Oct-21,42127,41510
10-Oct-21,42128,41521
11-Oct-21,42128,41523
12-Oct-21,42131,41534
13-Oct-21,42133,41541
14-Oct-21,42136,41546
15-Oct-21,42143,41553
16-Oct-21,42145,41557
17-Oct-21,42149,41560
18-Oct-21,42151,41562
19-Oct-21,42158,41568
20-Oct-21,42163,41574
21-Oct-21,42164,41576
22-Oct-21,42170,41584
23-Oct-21,42173,41588
24-Oct-21,42178,41590
25-Oct-21,42188,41595
26-Oct-21,42189,41600
27-Oct-21,42190,41603
28-Oct-21,42192,41606
29-Oct-21,42192,41613
30-Oct-21,42195,41617
31-Oct-21,42197,41621
1-Nov-21,42198,41622
2-Nov-21,42200,41624
3-Nov-21,42205,41627
4-Nov-21,42205,41629
5-Nov-21,42205,41634
6-Nov-21,42207,41637
7-Nov-21,42212,41640
8-Nov-21,42212,41640
9-Nov-21,42212,41642
10-Nov-21,42214,41648
11-Nov-21,42215,41650
12-Nov-21,42216,41652
13-Nov-21,42218,41654
14-Nov-21,42219,41657
15-Nov-21,42219,41657
16-Nov-21,42220,41659
17-Nov-21,42224,41660
18-Nov-21,42224,41661
19-Nov-21,42224,41662
20-Nov-21,42224,41664
21-Nov-21,42224,41666
22-Nov-21,42224,41668
23-Nov-21,42225,41668
24-Nov-21,42226,41668
25-Nov-21,42226,41669
26-Nov-21,42226,41670
27-Nov-21,42226,41670
28-Nov-21,42226,41670
29-Nov-21,42226,41671
30-Nov-21,42227,41672
1-Nov-21,42228,41672
2-Nov-21,42229,41673
3-Nov-21,42230,41673
4-Nov-21,42231,41673
5-Nov-21,42232,41673
6-Nov-21,42232,41675
7-Nov-21,42232,41675
8-Nov-21,42234,41676
9-Nov-21,42234,41676
10-Nov-21,42235,41677
11-Nov-21,42237,41679
12-Dec-21,42237,41679
13-Dec-21,42238,41679
14-Dec-21,42238,41680
15-Dec-21,42238,41681
16-Dec-21,42239,41681
17-Dec-21,42239,41681
18-Dec-21,42240,41683
19-Dec-21,42240,41684
20-Dec-21,42240,41684
21-Dec-21,42240,41684
22-Dec-21,42240,41685
23-Dec-21,42240,41686
24-Dec-21,42240,41686
25-Dec-21,42241,41686
26-Dec-21,42241,41686
27-Dec-21,42241,41686
28-Dec-21,42241,41686
29-Dec-21,42241,41686
30-Dec-21,42242,41686
31-Dec-21,42242,41687
1-Jan-22,42242,41687
2-Jan-22,42242,41687
3-Jan-22,42242,41687
5-Jan-22,42243,41687
6-Jan-22,42243,41687
7-Jan-22,42243,41688
8-Jan-22,42243,41688
9-Jan-22,42243,41688
10-Jan-22,42243,41688
11-Jan-22,42243,41688
12-Jan-22,42244,41688
13-Jan-22,42246,41688
14-Jan-22,42246,41688
15-Jan-22,42246,41688
16-Jan-22,42246,41688
17-Jan-22,42246,41689
18-Jan-22,42248,41689
19-Jan-22,42250,41689
20-Jan-22,42251,41691
21-Jan-22,42252,41691
22-Jan-22,42255,41691
23-Jan-22,42256,41692
24-Jan-22,42257,41692
25-Jan-22,42260,41693
26-Jan-22,42265,41694
27-Jan-22,42272,41696
28-Jan-22,42277,41698
29-Jan-22,42294,41701
30-Jan-22,42309,41705
31-Jan-22,42311,41705
1-Feb-22,42335,41710
2-Feb-22,42342,41712
3-Feb-22,42366,41715
4-Feb-22,42416,41720
5-Feb-22,42472,41734
6-Feb-22,42538,41746
7-Feb-22,42551,41753
8-Feb-22,42649,41779
9-Feb-22,42794,41799
10-Feb-22,42922,41829
